State_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Unhealthy_Days,Major_Depression,Recent_Drug_Use,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,MVA,Stroke,Suicide,Injury,,
04,Graham,Arizona,AZ,33073,7,6780,9955,18918,3671,26591,728,5391,232,9194,77,287,7,579,650,8533,26260,7871,8235,5325,3605,5788,8533,49477,12270,9889,18091,4597,7971,,
04,Greenlee,Arizona,AZ,7521,4,842,2256,4422,745,7235,60,143,38,3490,77,68,6,30,31,0,0,0,0,0,376,2061,1376,12056,2820,1429,4430,1497,1068,,
04,La Paz,Arizona,AZ,20238,4,3481,4169,10200,5262,17040,202,2671,121,4614,81,155,6,243,216,5383,16878,4452,0,3663,1680,4999,2955,32846,8075,10949,7609,4655,8945,,
04,Maricopa,Arizona,AZ,3635528,395,465348,1039761,2192223,352646,3235620,156328,79982,105430,1043397,78,28386,6,7093860,7167443,847078,2715739,723470,778003,723470,229038,868891,643488,6213117,1715969,596227,1708698,508974,952508,,
04,Mohave,Arizona,AZ,187200,14,27893,43618,104645,35194,176342,1872,4680,2059,23962,75,1817,7,20133,18576,52229,145267,46800,57283,55037,14040,43992,40248,344261,140213,66082,95472,49046,62525,,
04,Navajo,Arizona,AZ,108432,11,23204,36758,59746,10952,52590,1193,52915,434,9434,75,989,6,5905,6800,25698,81758,27216,29385,21470,9542,19735,13554,152455,33614,62674,63758,28409,51939,,
04,Pima,Arizona,AZ,924786,101,132244,240444,551172,115598,820285,31443,33292,24044,292232,77,7482,6,476034,481286,193280,653824,182183,220099,172935,61036,209926,168311,1356661,436499,145191,444822,149815,305179,,
04,Pinal,Arizona,AZ,229549,43,33514,59912,136352,30071,199478,8034,16987,2525,67947,77,1825,6,29288,29541,61749,169407,61290,64962,50042,24332,48894,38564,352817,111790,61749,97099,40860,62667,,
04,Santa Cruz,Arizona,AZ,42009,34,8066,14031,23105,4369,41043,252,336,336,33775,80,278,4,891,980,15501,28062,8402,8570,7604,2941,7142,3907,45244,15333,7184,19576,4327,5503,,
04,Yavapai,Arizona,AZ,198701,24,23844,41926,113061,38747,189958,1391,3378,1590,22851,78,1547,7,23339,21571,46496,137700,31792,56630,43516,11326,44509,31196,267054,102132,48086,103722,45105,60604,,
04,Yuma,Arizona,AZ,181277,33,32630,55833,93901,28279,168588,4894,3444,2538,98977,81,1104,6,17169,18024,48401,133239,46588,48582,29367,16677,34986,20847,192516,70879,32267,62541,13958,39700,,
05,Arkansas,Arkansas,AR,20073,20,3473,4998,11943,2770,14974,4918,20,80,221,73,217,8,259,220,7046,15918,6162,0,5861,1566,5600,6002,52973,16099,6624,18226,2850,4797,,
05,Ashley,Arkansas,AR,23178,25,4126,6003,13953,2781,16526,6443,23,70,881,73,250,8,340,296,8112,20582,7000,6698,6884,1785,7185,4659,64018,17430,7649,24754,3129,5308,,
