State_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Unhealthy_Days,Major_Depression,Recent_Drug_Use,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,MVA,Stroke,Suicide,Injury
18,De Kalb,Indiana,IN,41659,115,7,28,60.2,10,98.3,0.4,0.3,0.3,1.8,76.5,885.6,5.9,2721,1766,24.3,74.9,28.1,20.2,22.7,6.1,34.5,25.3,188.3,54.4,30.4,71.4,11.4,25.9
18,Delaware,Indiana,IN,116362,296,13.4,24.5,61.5,12.1,91.1,6.8,0.2,0.9,1.2,76.2,933.4,6.9,8002,6006,21.5,76.1,28.3,25.3,25,8.8,29.5,19.5,170.7,69,12.9,61.5,12.4,21.4
18,Dubois,Indiana,IN,40858,95,5.6,26.8,59.8,11.5,99,0.2,0.1,0.4,4.4,77.3,871.9,3.7,2712,1739,25,82.3,19.9,23.7,16.8,6.2,27.3,17.9,188.6,42.1,16.6,67.6,17.2,21.7
18,Elkhart,Indiana,IN,195362,421,9.5,29.7,59.3,9.3,91.6,5.5,0.3,1.2,12.4,77.1,825.7,5.4,12472,8349,26.2,77,25.2,27.7,23.2,5.5,25.4,14.2,175.1,58.2,17,62.8,8.5,19.8
18,Fayette,Indiana,IN,24885,116,10.4,24.7,59.8,13.4,97.7,1.6,0,0.3,0.6,75.1,1018.1,10,1694,1042,23.7,-1111.1,26.9,-1111.1,24.8,10,35.4,19.9,227.5,68.8,15.2,69.9,12.7,35.9
18,Floyd,Indiana,IN,71997,486,9.2,26,61.5,10.8,93.1,4.9,0.2,0.7,1.5,76.2,979.2,6.5,4835,3058,24.1,76.8,21.9,26.4,25.7,6.3,28.8,22.9,208.7,71.6,11.7,80,10.6,20.1
18,Fountain,Indiana,IN,17462,44,9.3,26,57.3,14.2,99,0.2,0.2,0.3,1.8,75.1,975.3,7.6,1171,722,35.5,82,37.1,-1111.1,24.6,12.1,41.3,24.9,201,69.9,29.3,70.1,12.2,19.5
18,Franklin,Indiana,IN,23085,60,8,26.5,60.6,11.1,99.1,0.1,0,0.4,0.6,77.1,812.8,5.4,1539,1007,28.5,86.1,26,-1111.1,25.4,9.5,15.4,30,197.5,44.2,27,46.5,10.4,21.8
18,Fulton,Indiana,IN,20665,56,9.5,25.8,58.9,12.9,98,0.7,0.3,0.4,2.9,77.2,900,8.1,1390,858,35.9,89.1,23.7,-1111.1,31.1,9.2,35.2,25.1,229.9,66.5,23.6,58,11.5,21.5
18,Gibson,Indiana,IN,33408,68,8.1,25.2,60,12.5,96.4,2.1,0.2,0.7,0.9,77.2,874.4,5.6,2264,1435,31.5,-1111.1,25.5,27.8,22.5,8.1,23.3,33.5,224.4,53.2,22.3,54,12.7,19.6
